trip_id,id,type,busStop,started,delay,vid,start_time,gtfs_start_time,gtfs_end_time,first_stop_id,last_stop_id,block_id,block_name,start_diff
205366020,140,Gillig_102,400,29084.0,0.00,140,20220111 08:03,29100,29700,400,413,1602,1403,16.0
205367020,143,Gillig_102,400,37483.0,0.00,143,20220111 10:26,37500,38100,400,413,1502,1402,17.0
205368020,143,Gillig_102,400,45044.0,0.00,143,20220111 12:30,45060,45660,400,413,1502,1402,16.0
205369020,143,Gillig_102,400,43784.0,0.00,143,20220111 12:12,43800,44400,400,413,1502,1402,16.0
205370020,143,Gillig_102,400,42522.0,0.00,143,20220111 11:46,42540,43140,400,413,1502,1402,18.0
205371020,143,Gillig_102,400,41266.0,0.00,143,20220111 11:26,41280,41880,400,413,1502,1402,14.0
205372020,143,Gillig_102,400,40004.0,0.00,143,20220111 11:07,40020,40620,400,413,1502,1402,16.0
205373020,143,Gillig_102,400,38743.0,0.00,143,20220111 10:46,38760,39360,400,413,1502,1402,17.0
205374020,143,Gillig_102,400,36225.0,0.00,143,20220111 10:02,36240,36840,400,413,1502,1402,15.0
205375020,143,Gillig_102,400,34963.0,0.00,143,20220111 09:40,34980,35580,400,413,1502,1402,17.0
205376020,143,Gillig_102,400,33704.0,0.00,143,20220111 09:24,33720,34320,400,413,1502,1402,16.0
205377020,143,Gillig_102,400,32445.0,0.00,143,20220111 09:04,32460,33060,400,413,1502,1402,15.0
205378020,143,Gillig_102,400,31184.0,0.00,143,20220111 08:41,31200,31800,400,413,1502,1402,16.0
205379020,143,Gillig_102,400,29923.0,0.00,143,20220111 08:19,29940,30540,400,413,1502,1402,17.0
205380020,143,Gillig_102,400,28663.0,0.00,143,20220111 07:57,28680,29280,400,413,1502,1402,17.0
205381020,144,Gillig_102,400,44623.0,0.00,144,20220111 12:22,44640,45240,400,413,1402,1401,17.0
205382020,144,Gillig_102,400,43364.0,0.00,144,20220111 12:06,43380,43980,400,413,1402,1401,16.0
205383020,144,Gillig_102,400,42104.0,0.00,144,20220111 11:41,42120,42720,400,413,1402,1401,16.0
