trip_id,vid,start_time,gtfs_start_time,gtfs_end_time,first_stop_id,last_stop_id,route_id,block_id,block_name
205513020,144,20220111 12:16,12:13:00,12:24:00,413,400,14,1402,1401
206080020,727,20220111 12:17,12:15:00,12:30:00,730,1565,2A,3202,201
205918020,506,20220111 12:20,12:26:00,12:50:00,354,756,21,5702,452
204906020,146,20220111 12:20,12:25:00,13:00:00,1351,95,1,2602,153
204952020,147,20220111 12:20,12:25:00,12:55:00,95,145,1,102,101
205354020,140,20220111 12:20,12:17:00,12:27:00,400,413,14,1602,1403
206889020,703,20220111 12:20,12:20:00,12:35:00,1874,1565,DTS,3902,3302
205073020,504,20220111 12:22,12:20:00,12:50:00,288,1351,10A,1102,108
205246020,135,20220111 12:22,12:15:00,12:45:00,1555,1710,13,1302,1351
205381020,144,20220111 12:22,12:24:00,12:34:00,400,413,14,1402,1401
206040020,134,20220111 12:23,12:25:00,12:50:00,779,12,28,3502,2802
205500020,143,20220111 12:24,12:20:00,12:31:00,413,400,14,1502,1402
205755020,138,20220111 12:24,12:20:00,12:55:00,509,1555,16,7102,902
206294020,112,20220111 12:26,11:45:00,12:45:00,1351,1876,4,5402,407
205483020,140,20220111 12:28,12:27:00,12:37:00,413,400,14,1602,1403
206057020,727,20220111 12:28,12:30:00,12:45:00,1565,730,2A,3202,201
206293020,752,20220111 12:29,12:30:00,13:30:00,1351,1876,4,8102,955
205750020,136,20220111 12:30,12:25:00,13:00:00,145,1423,16,7402,905
205368020,143,20220111 12:30,12:31:00,12:41:00,400,413,14,1502,1402
206966020,703,20220111 12:33,12:35:00,12:50:00,1566,1874,33,3902,3302
205512020,144,20220111 12:34,12:34:00,12:44:00,413,400,14,1402,1401
205053020,124,20220111 12:35,12:41:00,13:25:00,354,217,10A,302,1016
205328020,140,20220111 12:36,12:37:00,12:47:00,400,413,14,1602,1403
205353020,144,20220111 12:39,12:44:00,12:54:00,400,413,14,1402,1401
205499020,143,20220111 12:41,12:41:00,12:51:00,413,400,14,1502,1402
205165020,123,20220111 12:42,12:40:00,13:10:00,145,288,10G,2502,152
206079020,727,20220111 12:44,12:45:00,13:00:00,730,1565,2A,3202,201
204905020,504,20220111 12:45,12:50:00,13:25:00,1351,95,1,1102,108
206292020,129,20220111 12:45,12:51:00,14:00:00,354,1876,4,6402,459
206337020,112,20220111 12:46,12:45:00,13:45:00,1883,1351,4,5402,407
206789020,111,20220111 12:46,12:45:00,13:15:00,1710,145,9,7202,903
205259020,135,20220111 12:46,12:45:00,13:15:00,1710,1589,13,1302,1351
205458020,140,20220111 12:46,12:47:00,12:57:00,413,400,14,1602,1403
205331020,143,20220111 12:47,12:51:00,13:01:00,400,413,14,1502,1402
206892020,703,20220111 12:48,12:50:00,13:05:00,1874,1565,DTS,3902,3302
206024020,134,20220111 12:50,12:50:00,13:15:00,12,779,28,3502,2802
205482020,144,20220111 12:55,12:54:00,13:04:00,413,400,14,1402,1401
207274020,147,20220111 12:55,13:00:00,13:15:00,166,756,21,102,101
205327020,140,20220111 12:56,12:57:00,13:07:00,400,413,14,1602,1403
