time,speed,acceleration,vehicle_ref,actorConfig_id,actorConfig_emissionClass,actorConfig_fuel,actorConfig_ref,actorConfig_vehicleClass
21885000,1186,1222,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21886000,1303,1175,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21887000,1380,765,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21888000,1468,886,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21889000,1269,-1992,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21890000,879,-3899,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21891000,489,-3899,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21892000,212,-2767,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21893000,7,-2053,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21894000,4,-32,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21895000,0,-35,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21896000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21897000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21898000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
