trip_id,id,type,busStop,lane,pos,parking,started,ended,delay,arrivalDelay,initialPersons,loadedPersons,unloadedPersons,initialContainers,loadedContainers,unloadedContainers,vid,start_time,gtfs_start_time,gtfs_end_time,first_stop_id,last_stop_id,route_id,block_id,block_name,start_diff
206041020,134,Gillig_103,779,45468247#2_0,423.02,0,53221.0,53224.00,11523.00,11521.00,17,5,0,0,0,0,134,20220111 13:15,47700,49200,779,12,28,3502,2802,5521.0
206043020,134,Gillig_103,779,45468247#2_0,423.02,0,53221.0,53224.00,11523.00,11521.00,17,5,0,0,0,0,134,20220111 14:50,53700,55200,779,12,28,3502,2802,479.0
206042020,134,Gillig_103,779,45468247#2_0,423.02,0,53221.0,53224.00,11523.00,11521.00,17,5,0,0,0,0,134,20220111 14:00,50700,52200,779,12,28,3502,2802,2521.0
206040020,134,Gillig_103,779,45468247#2_0,423.02,0,53221.0,53224.00,11523.00,11521.00,17,5,0,0,0,0,134,20220111 12:23,44700,46200,779,12,28,3502,2802,8521.0
205409020,140,Gillig_102,413,394075884#0_0,100.15,0,53238.0,53240.00,19.00,18.00,1,3,1,0,0,0,140,20220111 14:46,53220,53820,413,400,14,1602,1403,18.0
205164020,146,Gillig_107,145,-861020835#3_0,130.91,0,53270.0,53275.00,9474.00,9470.00,31,0,9,0,0,0,146,20220111 13:35,48900,50700,145,288,10G,2602,153,4370.0
205182020,124,Gillig_103,217,51067064#14_0,119.02,0,53347.0,53348.00,5047.00,5047.00,29,0,0,0,0,0,124,20220111 13:25,48300,50400,217,1351,10G,302,1016,5047.0
205321020,143,Gillig_102,400,173777776#0_0,187.23,0,53445.0,53461.00,0.00,-15.00,0,0,0,0,0,0,143,20220111 14:49,53460,54060,400,413,14,1502,1402,15.0
205919020,113,Gillig_103,166,-862116439#2_0,128.72,0,53490.0,53491.00,2790.00,2790.00,6,2,0,0,0,0,113,20220111 14:09,50700,51900,166,756,21,6502,460,2790.0
206277020,111,Gillig_103,354,-19509210_0,249.72,0,53548.0,58561.00,0.00,-5012.00,21,0,0,0,0,0,111,20220111 16:12,58560,62700,354,1876,4,6302,458,5012.0
205476020,144,Gillig_102,413,394075884#0_0,100.16,0,53661.0,53662.00,21.00,21.00,0,2,0,0,0,0,144,20220111 14:56,53640,54240,413,400,14,1402,1401,21.0
